participant_id,study_id,participant_age,session_date,session_time,trial_number,condition,category,image_name,image_location,word,click_order,rt,id,typicality
22,borrowing_kids_pilot,4,07/24/2025,10:42:19,1,familiar_word_condition,apples,apple_apple_1_0.png,5,apples,2,5085,1,0
22,borrowing_kids_pilot,4,07/24/2025,10:42:19,2,familiar_word_condition,flowers,flower_round_3_1.png,7,flowers,1,4960,3,1
22,borrowing_kids_pilot,4,07/24/2025,10:42:19,2,familiar_word_condition,flowers,flower_round_2_1.png,3,flowers,2,6761,2,1
22,borrowing_kids_pilot,4,07/24/2025,10:42:19,3,familiar_word_condition,leaves,leaf_bean_3_2.png,11,leaves,1,5224,3,2
22,borrowing_kids_pilot,4,07/24/2025,10:42:19,3,familiar_word_condition,leaves,leaf_bean_1_2.png,10,leaves,2,6783,1,2
22,borrowing_kids_pilot,4,07/24/2025,10:42:19,4,familiar_word_condition,mushrooms,mushroom_disc_1_2.png,8,mushrooms,1,27295,1,2
22,borrowing_kids_pilot,4,07/24/2025,10:42:19,4,familiar_word_condition,mushrooms,mushroom_disc_3_2.png,9,mushrooms,2,28613,3,2
22,borrowing_kids_pilot,4,07/24/2025,10:42:19,5,familiar_word_condition,shells,shell_urn_3_2.png,3,shells,1,5379,3,2
22,borrowing_kids_pilot,4,07/24/2025,10:42:19,5,familiar_word_condition,shells,shell_urn_1_2.png,0,shells,2,8662,1,2
6,borrowing_kids_pilot,4,07/14/2025,09:46:20,0,novel_word_condition,carrots,carrot_carrot_1_0.png,3,carrots,1,7883,1,0
6,borrowing_kids_pilot,4,07/14/2025,09:46:20,0,novel_word_condition,carrots,carrot_carrot_5_0.png,7,carrots,2,9230,5,0
6,borrowing_kids_pilot,4,07/14/2025,09:46:20,1,novel_word_condition,apples,apple_apple_5_0.png,6,apples,1,4552,5,0
6,borrowing_kids_pilot,4,07/14/2025,09:46:20,1,novel_word_condition,apples,apple_apple_3_0.png,2,apples,2,5633,3,0
6,borrowing_kids_pilot,4,07/14/2025,09:46:20,2,novel_word_condition,leaves,leaf_oak_3_1.png,7,palts,1,8014,3,1
6,borrowing_kids_pilot,4,07/14/2025,09:46:20,2,novel_word_condition,leaves,leaf_oak_1_1.png,2,palts,2,9396,1,1
6,borrowing_kids_pilot,4,07/14/2025,09:46:20,3,novel_word_condition,shells,shell_stingray_3_2.png,8,bines,1,8443,3,2
6,borrowing_kids_pilot,4,07/14/2025,09:46:20,3,novel_word_condition,shells,shell_stingray_1_2.png,7,bines,2,10140,1,2
6,borrowing_kids_pilot,4,07/14/2025,09:46:20,4,novel_word_condition,mushrooms,mushroom_bell_2_2.png,7,tinches,1,6104,2,2
6,borrowing_kids_pilot,4,07/14/2025,09:46:20,4,novel_word_condition,mushrooms,mushroom_bell_1_2.png,1,tinches,2,9673,1,2
6,borrowing_kids_pilot,4,07/14/2025,09:46:20,5,novel_word_condition,flowers,flower_trumpet_2_2.png,11,nefts,1,4074,2,2
6,borrowing_kids_pilot,4,07/14/2025,09:46:20,5,novel_word_condition,flowers,flower_trumpet_1_2.png,1,nefts,2,6674,1,2
5,borrowing_kids_pilot,3,07/14/2025,08:20:11,0,novel_word_condition,apples,apple_apple_5_0.png,7,apples,1,5413,5,0
5,borrowing_kids_pilot,3,07/14/2025,08:20:11,0,novel_word_condition,apples,apple_apple_6_0.png,5,apples,2,8497,6,0
5,borrowing_kids_pilot,3,07/14/2025,08:20:11,1,novel_word_condition,carrots,carrot_carrot_1_0.png,9,carrots,1,3679,1,0
5,borrowing_kids_pilot,3,07/14/2025,08:20:11,1,novel_word_condition,carrots,carrot_carrot_3_0.png,8,carrots,2,4745,3,0
5,borrowing_kids_pilot,3,07/14/2025,08:20:11,2,novel_word_condition,mushrooms,mushroom_bell_1_2.png,4,nefts,1,4937,1,2
5,borrowing_kids_pilot,3,07/14/2025,08:20:11,2,novel_word_condition,mushrooms,mushroom_bell_2_2.png,0,nefts,2,6995,2,2
5,borrowing_kids_pilot,3,07/14/2025,08:20:11,3,novel_word_condition,flowers,flower_trumpet_2_2.png,3,tinches,1,6566,2,2
5,borrowing_kids_pilot,3,07/14/2025,08:20:11,3,novel_word_condition,flowers,flower_trumpet_1_2.png,8,tinches,2,15830,1,2
5,borrowing_kids_pilot,3,07/14/2025,08:20:11,4,novel_word_condition,leaves,leaf_heart_3_2.png,9,palts,1,3900,3,2
5,borrowing_kids_pilot,3,07/14/2025,08:20:11,4,novel_word_condition,leaves,leaf_heart_1_2.png,5,palts,2,7479,1,2
5,borrowing_kids_pilot,3,07/14/2025,08:20:11,5,novel_word_condition,shells,shell_stingray_3_2.png,11,bines,1,5145,3,2
5,borrowing_kids_pilot,3,07/14/2025,08:20:11,5,novel_word_condition,shells,shell_fan_3_1.png,7,bines,2,5543,3,1
19,borrowing_kids_pilot,4,07/24/2025,09:04:34,0,familiar_word_condition,apples,apple_apple_6_0.png,6,apples,1,5253,6,0
19,borrowing_kids_pilot,4,07/24/2025,09:04:34,0,familiar_word_condition,apples,apple_apple_3_0.png,7,apples,2,6319,3,0
19,borrowing_kids_pilot,4,07/24/2025,09:04:34,1,familiar_word_condition,carrots,carrot_carrot_6_0.png,6,carrots,1,3765,6,0
19,borrowing_kids_pilot,4,07/24/2025,09:04:34,1,familiar_word_condition,carrots,carrot_carrot_3_0.png,7,carrots,2,4499,3,0
19,borrowing_kids_pilot,4,07/24/2025,09:04:34,2,familiar_word_condition,shells,shell_spiral_2_1.png,6,shells,1,4166,2,1
19,borrowing_kids_pilot,4,07/24/2025,09:04:34,2,familiar_word_condition,shells,shell_spiral_1_1.png,9,shells,2,4996,1,1
19,borrowing_kids_pilot,4,07/24/2025,09:04:34,3,familiar_word_condition,leaves,leaf_heart_2_2.png,5,leaves,1,4412,2,2
19,borrowing_kids_pilot,4,07/24/2025,09:04:34,3,familiar_word_condition,leaves,leaf_heart_1_2.png,4,leaves,2,5262,1,2
19,borrowing_kids_pilot,4,07/24/2025,09:04:34,4,familiar_word_condition,flowers,flower_round_1_1.png,6,flowers,1,3713,1,1
19,borrowing_kids_pilot,4,07/24/2025,09:04:34,4,familiar_word_condition,flowers,flower_round_3_1.png,2,flowers,2,4312,3,1
19,borrowing_kids_pilot,4,07/24/2025,09:04:34,5,familiar_word_condition,mushrooms,mushroom_disc_1_2.png,3,mushrooms,1,4314,1,2
19,borrowing_kids_pilot,4,07/24/2025,09:04:34,5,familiar_word_condition,mushrooms,mushroom_toadstool_1_1.png,11,mushrooms,2,5582,1,1
17,borrowing_kids_pilot,4,07/21/2025,15:33:15,0,novel_word_condition,carrots,carrot_carrot_6_0.png,10,carrots,1,5406,6,0
17,borrowing_kids_pilot,4,07/21/2025,15:33:15,0,novel_word_condition,carrots,carrot_carrot_2_0.png,7,carrots,2,5921,2,0
17,borrowing_kids_pilot,4,07/21/2025,15:33:15,1,novel_word_condition,apples,apple_apple_1_0.png,11,apples,1,3968,1,0
17,borrowing_kids_pilot,4,07/21/2025,15:33:15,1,novel_word_condition,apples,apple_apple_3_0.png,7,apples,2,4850,3,0
17,borrowing_kids_pilot,4,07/21/2025,15:33:15,2,novel_word_condition,mushrooms,mushroom_enoki_1_1.png,10,tinches,1,25596,1,1
