participant_id,study_id,participant_age,session_date,session_time,trial_number,condition,category,image_name,image_location,word,click_order,rt,id,typicality,experiment_date,date_of_birth,experimenter,notes,exclude,exclusion_reason,exact_age
25,exp_2_child,4,11/13/2025,13:32:35,5,familiar_word_condition,flowers,flower_iris_1_2.png,10,flowers,1,3973,1,2,11/13/2025,4/13/2021,OL,NA,FALSE,NA,55.04436411436083
25,exp_2_child,4,11/13/2025,13:32:35,5,familiar_word_condition,flowers,flower_trumpet_2_2.png,6,flowers,2,5330,2,2,11/13/2025,4/13/2021,OL,NA,FALSE,NA,55.04436411436083
25,exp_2_child,4,11/13/2025,13:32:35,6,familiar_word_condition,shells,shell_spiral_1_1.png,10,shells,1,3549,1,1,11/13/2025,4/13/2021,OL,NA,FALSE,NA,55.04436411436083
25,exp_2_child,4,11/13/2025,13:32:35,6,familiar_word_condition,shells,shell_fan_2_1.png,6,shells,2,5864,2,1,11/13/2025,4/13/2021,OL,NA,FALSE,NA,55.04436411436083
25,exp_2_child,4,11/13/2025,13:32:35,7,familiar_word_condition,leaves,leaf_heart_3_2.png,3,leaves,1,3363,3,2,11/13/2025,4/13/2021,OL,NA,FALSE,NA,55.04436411436083
25,exp_2_child,4,11/13/2025,13:32:35,7,familiar_word_condition,leaves,leaf_heart_2_2.png,2,leaves,2,4546,2,2,11/13/2025,4/13/2021,OL,NA,FALSE,NA,55.04436411436083
25,exp_2_child,4,11/13/2025,13:32:35,8,familiar_word_condition,shoes,shoe_elf_1_2.png,10,shoes,1,3449,1,2,11/13/2025,4/13/2021,OL,NA,FALSE,NA,55.04436411436083
25,exp_2_child,4,11/13/2025,13:32:35,8,familiar_word_condition,shoes,shoe_elf_3_2.png,6,shoes,2,4280,3,2,11/13/2025,4/13/2021,OL,NA,FALSE,NA,55.04436411436083
25,exp_2_child,4,11/13/2025,13:32:35,9,familiar_word_condition,cups,cup_sherry_1_2.png,0,cups,1,2713,1,2,11/13/2025,4/13/2021,OL,NA,FALSE,NA,55.04436411436083
25,exp_2_child,4,11/13/2025,13:32:35,9,familiar_word_condition,cups,cup_sherry_3_2.png,4,cups,2,3443,3,2,11/13/2025,4/13/2021,OL,NA,FALSE,NA,55.04436411436083
6,exp_2_child,4,10/30/2025,13:50:26,0,novel_word_condition,apples,apple_apple_4_0.png,6,apples,1,4886,4,0,10/30,5/27/2021,OL,NA,FALSE,NA,NA
6,exp_2_child,4,10/30/2025,13:50:26,0,novel_word_condition,apples,apple_apple_1_0.png,5,apples,2,6611,1,0,10/30,5/27/2021,OL,NA,FALSE,NA,NA
6,exp_2_child,4,10/30/2025,13:50:26,1,novel_word_condition,carrots,carrot_carrot_5_0.png,0,carrots,1,3028,5,0,10/30,5/27/2021,OL,NA,FALSE,NA,NA
6,exp_2_child,4,10/30/2025,13:50:26,1,novel_word_condition,carrots,carrot_carrot_2_0.png,4,carrots,2,3762,2,0,10/30,5/27/2021,OL,NA,FALSE,NA,NA
6,exp_2_child,4,10/30/2025,13:50:26,2,novel_word_condition,spoons,spoon_square_2_2.png,1,leams,1,13684,2,2,10/30,5/27/2021,OL,NA,FALSE,NA,NA
6,exp_2_child,4,10/30/2025,13:50:26,2,novel_word_condition,spoons,spoon_teaspoon_2_1.png,3,leams,2,15844,2,1,10/30,5/27/2021,OL,NA,FALSE,NA,NA
6,exp_2_child,4,10/30/2025,13:50:26,3,novel_word_condition,cups,cup_sherry_3_2.png,0,serns,1,3347,3,2,10/30,5/27/2021,OL,NA,FALSE,NA,NA
6,exp_2_child,4,10/30/2025,13:50:26,3,novel_word_condition,cups,cup_twohandled_1_2.png,1,serns,2,4614,1,2,10/30,5/27/2021,OL,NA,FALSE,NA,NA
6,exp_2_child,4,10/30/2025,13:50:26,4,novel_word_condition,mushrooms,mushroom_bell_2_2.png,3,bines,1,2997,2,2,10/30,5/27/2021,OL,NA,FALSE,NA,NA
6,exp_2_child,4,10/30/2025,13:50:26,4,novel_word_condition,mushrooms,mushroom_bell_3_2.png,2,bines,2,3864,3,2,10/30,5/27/2021,OL,NA,FALSE,NA,NA
6,exp_2_child,4,10/30/2025,13:50:26,5,novel_word_condition,shells,shell_stingray_1_2.png,1,palts,1,3763,1,2,10/30,5/27/2021,OL,NA,FALSE,NA,NA
6,exp_2_child,4,10/30/2025,13:50:26,5,novel_word_condition,shells,shell_fan_2_1.png,2,palts,2,4828,2,1,10/30,5/27/2021,OL,NA,FALSE,NA,NA
6,exp_2_child,4,10/30/2025,13:50:26,6,novel_word_condition,hats,hat_ballcap_2_1.png,2,nefts,1,2845,2,1,10/30,5/27/2021,OL,NA,FALSE,NA,NA
