study_id,session_id,trial_number,condition,category,image_name,word,click_order,rt,id,typicality,participant_id
borrowing_adult_artifacts,6969790fef4f4f84b4778e83,2,novel_word_condition,shoes,shoe_elf_2_2.png,bines,2,13103,2,2,95
borrowing_adult_artifacts,6969790fef4f4f84b4778e83,3,novel_word_condition,mushrooms,mushroom_disc_3_2.png,datches,1,12432,3,2,95
borrowing_adult_artifacts,6969790fef4f4f84b4778e83,3,novel_word_condition,mushrooms,mushroom_disc_1_2.png,datches,2,13295,1,2,95
borrowing_adult_artifacts,6969790fef4f4f84b4778e83,4,novel_word_condition,cups,cup_sherry_3_2.png,gades,1,10050,3,2,95
borrowing_adult_artifacts,6969790fef4f4f84b4778e83,4,novel_word_condition,cups,cup_sherry_1_2.png,gades,2,10898,1,2,95
borrowing_adult_artifacts,6969790fef4f4f84b4778e83,5,novel_word_condition,spoons,spoon_slotted_2_2.png,nefts,1,15221,2,2,95
borrowing_adult_artifacts,6969790fef4f4f84b4778e83,5,novel_word_condition,spoons,spoon_slotted_1_2.png,nefts,2,16473,1,2,95
borrowing_adult_artifacts,6969790fef4f4f84b4778e83,6,novel_word_condition,leaves,leaf_oak_3_1.png,serns,1,9118,3,1,95
borrowing_adult_artifacts,6969790fef4f4f84b4778e83,6,novel_word_condition,leaves,leaf_oak_1_1.png,serns,2,9918,1,1,95
borrowing_adult_artifacts,6969790fef4f4f84b4778e83,7,novel_word_condition,shells,shell_stingray_3_2.png,palts,1,9099,3,2,95
borrowing_adult_artifacts,6969790fef4f4f84b4778e83,7,novel_word_condition,shells,shell_stingray_2_2.png,palts,2,10339,2,2,95
borrowing_adult_artifacts,69697912af2b95168e9fa42a,0,novel_word_condition,hats,hat_party_3_2.png,nefts,1,3157,3,2,69
borrowing_adult_artifacts,69697912af2b95168e9fa42a,0,novel_word_condition,hats,hat_party_1_2.png,nefts,2,3700,1,2,69
borrowing_adult_artifacts,69697912af2b95168e9fa42a,1,novel_word_condition,flowers,flower_star_1_1.png,datches,1,1791,1,1,69
borrowing_adult_artifacts,69697912af2b95168e9fa42a,1,novel_word_condition,flowers,flower_round_2_1.png,datches,2,2102,2,1,69
borrowing_adult_artifacts,69697912af2b95168e9fa42a,2,novel_word_condition,cups,cup_glass_2_1.png,leams,1,790,2,1,69
borrowing_adult_artifacts,69697912af2b95168e9fa42a,2,novel_word_condition,cups,cup_twohandled_2_2.png,leams,2,1128,2,2,69
borrowing_adult_artifacts,69697912af2b95168e9fa42a,3,novel_word_condition,leaves,leaf_heart_2_2.png,tinches,1,744,2,2,69
borrowing_adult_artifacts,69697912af2b95168e9fa42a,3,novel_word_condition,leaves,leaf_heart_3_2.png,tinches,2,1083,3,2,69
borrowing_adult_artifacts,69697912af2b95168e9fa42a,4,novel_word_condition,spoons,spoon_soup_3_1.png,bines,1,679,3,1,69
borrowing_adult_artifacts,69697912af2b95168e9fa42a,4,novel_word_condition,spoons,spoon_soup_2_1.png,bines,2,982,2,1,69
borrowing_adult_artifacts,69697912af2b95168e9fa42a,5,novel_word_condition,shoes,shoe_ghillie_2_2.png,serns,1,897,2,2,69
borrowing_adult_artifacts,69697912af2b95168e9fa42a,5,novel_word_condition,shoes,shoe_loafer_1_1.png,serns,2,1209,1,1,69
borrowing_adult_artifacts,69697912af2b95168e9fa42a,6,novel_word_condition,mushrooms,mushroom_bell_1_2.png,gades,1,765,1,2,69
borrowing_adult_artifacts,69697912af2b95168e9fa42a,6,novel_word_condition,mushrooms,mushroom_disc_1_2.png,gades,2,1083,1,2,69
borrowing_adult_artifacts,69697912af2b95168e9fa42a,7,novel_word_condition,shells,shell_stingray_2_2.png,palts,1,726,2,2,69
borrowing_adult_artifacts,69697912af2b95168e9fa42a,7,novel_word_condition,shells,shell_fan_3_1.png,palts,2,1039,3,1,69
borrowing_adult_artifacts,6969790d3678db313a43f63f,0,novel_word_condition,mushrooms,mushroom_enoki_1_1.png,bines,1,10497,1,1,41
borrowing_adult_artifacts,6969790d3678db313a43f63f,0,novel_word_condition,mushrooms,mushroom_enoki_2_1.png,bines,2,11178,2,1,41
borrowing_adult_artifacts,6969790d3678db313a43f63f,1,novel_word_condition,shells,shell_spiral_1_1.png,datches,1,13633,1,1,41
borrowing_adult_artifacts,6969790d3678db313a43f63f,1,novel_word_condition,shells,shell_fan_1_1.png,datches,2,16577,1,1,41
borrowing_adult_artifacts,6969790d3678db313a43f63f,2,novel_word_condition,leaves,leaf_oak_2_1.png,gades,1,8746,2,1,41
borrowing_adult_artifacts,6969790d3678db313a43f63f,2,novel_word_condition,leaves,leaf_oak_3_1.png,gades,2,9202,3,1,41
