participant_id,study_id,session_id,trial_number,condition,category,image_name,word,click_order,rt,id,typicality
participant263,67cfb8a562de5c8e881149b4,67cfc140c53fe0a4499237d1,3,familiar_word_condition,shells,shell_fan_1_1.png,shells,1,4513,1,1
participant263,67cfb8a562de5c8e881149b4,67cfc140c53fe0a4499237d1,3,familiar_word_condition,shells,shell_fan_2_1.png,shells,2,7663,2,1
participant266,67cfb8a562de5c8e881149b4,67cfc0a188112b475308e2a0,0,novel_word_condition,leaves,leaf_oak_1_1.png,bines,1,3280,1,1
participant266,67cfb8a562de5c8e881149b4,67cfc0a188112b475308e2a0,0,novel_word_condition,leaves,leaf_oak_2_1.png,bines,2,4687,2,1
participant266,67cfb8a562de5c8e881149b4,67cfc0a188112b475308e2a0,1,novel_word_condition,mushrooms,mushroom_enoki_1_1.png,tinches,1,6557,1,1
participant266,67cfb8a562de5c8e881149b4,67cfc0a188112b475308e2a0,1,novel_word_condition,mushrooms,mushroom_enoki_2_1.png,tinches,2,7457,2,1
participant266,67cfb8a562de5c8e881149b4,67cfc0a188112b475308e2a0,2,novel_word_condition,flowers,flower_trumpet_3_2.png,nefts,1,5121,3,2
participant266,67cfb8a562de5c8e881149b4,67cfc0a188112b475308e2a0,2,novel_word_condition,flowers,flower_trumpet_2_2.png,nefts,2,5463,2,2
participant266,67cfb8a562de5c8e881149b4,67cfc0a188112b475308e2a0,3,novel_word_condition,shells,shell_fan_1_1.png,palts,1,4942,1,1
participant266,67cfb8a562de5c8e881149b4,67cfc0a188112b475308e2a0,3,novel_word_condition,shells,shell_fan_2_1.png,palts,2,5272,2,1
participant268,67cfb8a562de5c8e881149b4,0rcjjnjc24dn,0,novel_word_condition,flowers,flower_trumpet_3_2.png,tinches,1,1582,3,2
participant268,67cfb8a562de5c8e881149b4,0rcjjnjc24dn,0,novel_word_condition,flowers,flower_round_2_1.png,tinches,2,1999,2,1
participant268,67cfb8a562de5c8e881149b4,0rcjjnjc24dn,1,novel_word_condition,shells,shell_spiral_3_1.png,palts,1,1099,3,1
participant268,67cfb8a562de5c8e881149b4,0rcjjnjc24dn,1,novel_word_condition,shells,shell_fan_1_1.png,palts,2,1516,1,1
participant268,67cfb8a562de5c8e881149b4,0rcjjnjc24dn,2,novel_word_condition,mushrooms,mushroom_disc_3_2.png,nefts,1,983,3,2
